Fecha;Puntos
11/12/1998;720,00
14/12/1998;766,00
15/12/1998;734,00
16/12/1998;760,00
17/12/1998;758,00
18/12/1998;761,00
21/12/1998;720,00
22/12/1998;696,00
23/12/1998;682,00
24/12/1998;682,00
25/12/1998;684,00
28/12/1998;704,00
29/12/1998;709,00
30/12/1998;696,00
31/12/1998;700,00
1/1/1999;698,00
4/1/1999;672,00
5/1/1999;640,00
6/1/1999;647,00
7/1/1999;653,00
8/1/1999;655,00
11/1/1999;696,00
12/1/1999;771,00
13/1/1999;1026,00
14/1/1999;1097,00
15/1/1999;870,00
18/1/1999;841,00
19/1/1999;842,00
20/1/1999;830,00
21/1/1999;932,00
22/1/1999;937,00
1/2/1999;790,00
2/2/1999;769,00
3/2/1999;772,00
4/2/1999;777,00
5/2/1999;784,00
8/2/1999;810,00
9/2/1999;815,00
10/2/1999;795,00
11/2/1999;759,00
12/2/1999;742,00
15/2/1999;751,00
16/2/1999;724,00
17/2/1999;747,00
18/2/1999;753,00
19/2/1999;747,00
22/2/1999;762,00
23/2/1999;766,00
24/2/1999;767,00
25/2/1999;775,00
26/2/1999;786,00
1/3/1999;766,00
2/3/1999;799,00
3/3/1999;780,00
4/3/1999;748,00
5/3/1999;744,00
8/3/1999;742,00
9/3/1999;738,00
10/3/1999;716,00
11/3/1999;719,00
12/3/1999;709,00
15/3/1999;687,00
16/3/1999;700,00
17/3/1999;697,00
18/3/1999;689,00
19/3/1999;683,00
22/3/1999;682,00
23/3/1999;704,00
24/3/1999;698,00
25/3/1999;687,00
26/3/1999;689,00
29/3/1999;693,00
30/3/1999;696,00
31/3/1999;683,00
1/4/1999;661,00
2/4/1999;672,00
5/4/1999;660,00
6/4/1999;669,00
7/4/1999;643,00
8/4/1999;641,00
9/4/1999;641,00
12/4/1999;615,00
13/4/1999;611,00
14/4/1999;621,00
15/4/1999;623,00
16/4/1999;597,00
19/4/1999;612,00
20/4/1999;608,00
21/4/1999;597,00
22/4/1999;603,00
23/4/1999;622,00
26/4/1999;607,00
27/4/1999;615,00
28/4/1999;635,00
29/4/1999;621,00
30/4/1999;589,00
3/5/1999;585,00
4/5/1999;587,00
5/5/1999;591,00
6/5/1999;586,00
7/5/1999;576,00
10/5/1999;581,00
11/5/1999;610,00
12/5/1999;613,00
13/5/1999;623,00
14/5/1999;620,00
17/5/1999;657,00
18/5/1999;658,00
19/5/1999;718,00
20/5/1999;746,00
21/5/1999;775,00
24/5/1999;820,00
25/5/1999;806,00
26/5/1999;734,00
27/5/1999;783,00
28/5/1999;778,00
1/6/1999;790,00
2/6/1999;776,00
3/6/1999;770,00
4/6/1999;751,00
7/6/1999;738,00
8/6/1999;743,00
9/6/1999;750,00
10/6/1999;753,00
11/6/1999;768,00
14/6/1999;764,00
15/6/1999;754,00
16/6/1999;723,00
17/6/1999;729,00
18/6/1999;735,00
21/6/1999;726,00
22/6/1999;749,00
23/6/1999;732,00
24/6/1999;733,00
25/6/1999;745,00
28/6/1999;770,00
29/6/1999;761,00
30/6/1999;760,00
1/7/1999;777,00
2/7/1999;778,00
5/7/1999;779,00
6/7/1999;781,00
7/7/1999;789,00
8/7/1999;847,00
9/7/1999;890,00
12/7/1999;947,00
13/7/1999;923,00
14/7/1999;870,00
15/7/1999;890,00
16/7/1999;879,00
19/7/1999;868,00
20/7/1999;882,00
21/7/1999;888,00
22/7/1999;873,00
23/7/1999;885,00
26/7/1999;896,00
27/7/1999;887,00
28/7/1999;873,00
29/7/1999;856,00
30/7/1999;848,00
2/8/1999;874,00
3/8/1999;894,00
4/8/1999;907,00
5/8/1999;909,00
6/8/1999;905,00
9/8/1999;901,00
10/8/1999;900,00
11/8/1999;886,00
12/8/1999;853,00
13/8/1999;840,00
16/8/1999;833,00
17/8/1999;808,00
18/8/1999;837,00
19/8/1999;853,00
20/8/1999;852,00
23/8/1999;845,00
24/8/1999;845,00
25/8/1999;812,00
26/8/1999;811,00
27/8/1999;789,00
30/8/1999;786,00
31/8/1999;764,00
1/9/1999;763,00
2/9/1999;769,00
3/9/1999;765,00
6/9/1999;759,00
7/9/1999;739,00
8/9/1999;734,00
9/9/1999;706,00
10/9/1999;684,00
13/9/1999;689,00
14/9/1999;691,00
15/9/1999;704,00
16/9/1999;714,00
17/9/1999;701,00
20/9/1999;687,00
21/9/1999;705,00
22/9/1999;700,00
23/9/1999;694,00
24/9/1999;693,00
27/9/1999;680,00
28/9/1999;681,00
29/9/1999;669,00
30/9/1999;677,00
1/10/1999;668,00
4/10/1999;653,00
5/10/1999;658,00
6/10/1999;645,00
7/10/1999;642,00
8/10/1999;645,00
11/10/1999;644,00
12/10/1999;669,00
13/10/1999;677,00
14/10/1999;672,00
15/10/1999;696,00
18/10/1999;688,00
19/10/1999;671,00
20/10/1999;662,00
21/10/1999;639,00
22/10/1999;613,00
25/10/1999;620,00
26/10/1999;607,00
27/10/1999;621,00
28/10/1999;564,00
29/10/1999;635,00
1/11/1999;628,00
2/11/1999;629,00
3/11/1999;633,00
4/11/1999;618,00
5/11/1999;622,00
8/11/1999;615,00
9/11/1999;614,00
10/11/1999;617,00
11/11/1999;616,00
12/11/1999;617,00
15/11/1999;628,00
16/11/1999;620,00
17/11/1999;647,00
18/11/1999;642,00
19/11/1999;667,00
22/11/1999;652,00
23/11/1999;645,00
24/11/1999;641,00
25/11/1999;631,00
26/11/1999;641,00
29/11/1999;630,00
30/11/1999;657,00
1/12/1999;656,00
2/12/1999;646,00
3/12/1999;629,00
6/12/1999;633,00
7/12/1999;618,00
8/12/1999;620,00
9/12/1999;615,00
10/12/1999;607,00
13/12/1999;584,00
14/12/1999;580,00
15/12/1999;567,00
16/12/1999;570,00
17/12/1999;566,00
20/12/1999;570,00
21/12/1999;543,00
22/12/1999;547,00
23/12/1999;545,00
24/12/1999;546,00
27/12/1999;549,00
28/12/1999;544,00
29/12/1999;542,00
30/12/1999;544,00
31/12/1999;531,00
3/1/2000;509,00
4/1/2000;558,00
5/1/2000;540,00
6/1/2000;566,00
7/1/2000;558,00
10/1/2000;558,00
11/1/2000;560,00
12/1/2000;561,00
13/1/2000;551,00
14/1/2000;545,00
18/1/2000;540,00
19/1/2000;546,00
20/1/2000;548,00
21/1/2000;545,00
24/1/2000;558,00
25/1/2000;561,00
26/1/2000;567,00
27/1/2000;571,00
28/1/2000;592,00
31/1/2000;593,00
1/2/2000;583,00
2/2/2000;588,00
3/2/2000;595,00
4/2/2000;569,00
7/2/2000;547,00
8/2/2000;549,00
9/2/2000;549,00
10/2/2000;544,00
11/2/2000;551,00
14/2/2000;553,00
15/2/2000;548,00
16/2/2000;551,00
17/2/2000;550,00
18/2/2000;563,00
22/2/2000;581,00
23/2/2000;562,00
24/2/2000;568,00
25/2/2000;560,00
28/2/2000;548,00
29/2/2000;545,00
1/3/2000;550,00
2/3/2000;531,00
3/3/2000;524,00
6/3/2000;530,00
7/3/2000;530,00
8/3/2000;528,00
9/3/2000;527,00
10/3/2000;526,00
13/3/2000;537,00
14/3/2000;541,00
15/3/2000;548,00
16/3/2000;547,00
17/3/2000;542,00
20/3/2000;540,00
21/3/2000;539,00
22/3/2000;535,00
23/3/2000;536,00
24/3/2000;524,00
27/3/2000;522,00
28/3/2000;535,00
29/3/2000;545,00
30/3/2000;570,00
31/3/2000;570,00
3/4/2000;579,00
4/4/2000;595,00
5/4/2000;601,00
6/4/2000;592,00
7/4/2000;594,00
10/4/2000;607,00
11/4/2000;601,00
12/4/2000;599,00
13/4/2000;602,00
14/4/2000;618,00
17/4/2000;598,00
18/4/2000;578,00
19/4/2000;595,00
