Date,CER,TCRM
2004-03-31,1.4627098901098905,2.37
2004-06-30,1.481654945054945,2.3
2004-09-30,1.5104597826086958,2.26
2004-12-31,1.5311021739130437,2.25
2005-03-31,1.5584288888888886,2.22
2005-06-30,1.6107208791208791,2.18
2005-09-30,1.6487869565217392,2.16
2005-12-31,1.691214130434783,2.12
2006-03-31,1.7465,2.08
2006-06-30,1.794578021978022,2.05
2006-09-30,1.829513043478261,2.02
2006-12-31,1.8684630434782608,1.99
2007-03-31,1.9175533333333332,1.96
2007-06-30,1.9580032967032968,1.93
2007-09-30,1.989080434782609,1.9
2007-12-31,2.027544565217392,1.87
2008-03-31,2.078652747252747,1.84
2008-06-30,2.1299428571428574,1.82
2008-09-30,2.1709815217391304,1.79
2008-12-31,2.2013891304347823,1.77
2009-03-31,2.227928888888889,1.77
2009-06-30,2.2599615384615386,1.76
2009-09-30,2.289744565217392,1.75
2009-12-31,2.3405239130434783,1.74
2010-03-31,2.403571111111111,1.73
2010-06-30,2.48192967032967,1.71
2010-09-30,2.541544565217392,1.69
2010-12-31,2.6002804347826087,1.67
2011-03-31,2.661471111111112,1.65
2011-06-30,2.724652747252747,1.62
2011-09-30,2.7877695652173915,1.59
2011-12-31,2.8536380434782616,1.57
2012-03-31,2.917010989010989,1.56
2012-06-30,2.9916329670329667,1.54
2012-09-30,3.063858695652174,1.52
2012-12-31,3.1431271739130437,1.51
2013-03-31,3.2339211111111106,1.49
2013-06-30,3.307831868131868,1.48
2013-09-30,3.385197826086956,1.46
2013-12-31,3.473929347826086,1.45
2014-03-31,3.63618888888889,1.56
2014-06-30,3.945863736263736,1.54
2014-09-30,4.131184782608695,1.52
2014-12-31,4.299857608695652,1.51
2015-03-31,4.446702222222223,1.49
2015-06-30,4.596259340659341,1.47
2015-09-30,4.749839130434782,1.44
2015-12-31,4.924831521739131,1.55
2016-03-31,5.267854945054945,1.85
2016-06-30,5.811623076923077,1.78
2016-09-30,6.382890217391305,1.72
2016-12-31,6.657657608695651,1.66
2017-03-31,6.980582222222222,1.62
2017-06-30,7.421804395604395,1.59
2017-09-30,7.813482608695653,1.56
2017-12-31,8.191021610665015,1.52
2018-03-31,8.676219262062322,1.53
2018-06-30,9.302908496839937,1.68
2018-09-30,10.093009374361849,1.95
2018-12-31,11.50206258799516,2.05
2019-03-31,12.880597202281688,2.02
2019-06-30,14.331729329517175,2.0
2019-09-30,15.728973232361644,2.18
2019-12-31,17.602799998121764,2.2
2020-03-31,19.702912307781727,2.23
2020-06-30,21.220009841485084,2.25
2020-09-30,22.46180423005276,2.28
2020-12-31,24.277442113350777,2.31
2021-03-31,26.95686969441388,2.29
2021-06-30,30.37583744564568,2.27
2021-09-30,33.730485855288805,2.24
2021-12-31,36.90696913870465,2.21
2022-03-31,40.68933823441508,2.18
2022-06-30,47.14545870401275,2.14
2022-09-30,55.80928604450244,2.1
2022-12-31,67.61642399979618,2.05
2023-03-31,79.50120629337694,2.0
2023-06-30,96.83701011281364,1.95
2023-09-30,119.81519975925497,1.91
2023-12-31,159.44044829703435,2.4
2024-03-31,247.1816426253152,2.35
2024-06-30,371.0421489790293,2.28
2024-09-30,441.8397207554119,2.22
2024-12-31,494.779871757916,2.17
2025-03-31,534.9996370253142,2.12
2025-06-30,579.8877130502385,2.08
2025-09-30,617.0823839261813,2.05
2025-12-31,654.2899202595012,2.02
