Date,PIB_real,pb_pib,deuda_pib,g_gap
2004-03-31,94.89899446195028,0.9,119.0,-4.462770373570129
2004-06-30,106.03578013126592,1.1,112.0,4.708903605896053
2004-09-30,99.18303625571838,1.2,108.0,-3.8921163233592857
2004-12-31,99.88218915106556,1.3,102.0,-4.991382788309579
2005-03-31,101.7495505099361,1.2,78.0,-4.955524729307179
2005-06-30,119.90311901736838,1.5,72.0,10.033862532162942
2005-09-30,106.0980555940946,1.4,69.0,-4.299404074522447
2005-12-31,107.655914556259,1.6,65.0,-4.508256050209463
2006-03-31,109.7364537902141,1.5,63.0,-4.232142756803948
2006-06-30,126.58362357570458,1.7,61.0,8.750057771800288
2006-09-30,116.05057338750493,1.6,59.0,-1.7898371812282683
2006-12-31,118.07382087608066,1.8,57.0,-1.507990403944615
2007-03-31,118.90925936757442,1.4,56.0,-2.165075480598007
2007-06-30,139.0639933922362,1.2,55.0,12.935782186553876
2007-09-30,125.8310809570102,1.1,53.0,0.9419315538440375
2007-12-31,129.0161334974014,1.0,52.0,2.307686779583505
2008-03-31,127.1286414358048,0.8,52.0,-0.2791223900699083
2008-06-30,146.6467155605454,0.6,51.0,13.859806964227053
2008-09-30,133.3885159930425,0.4,50.0,2.5722718114549994
2008-12-31,126.4629159764191,0.2,49.0,-3.6412104205611153
2009-03-31,119.26096109941808,-0.5,51.0,-9.928632556685113
2009-06-30,130.11296246690188,-0.6,52.0,-2.576117026150189
2009-09-30,125.85049090289608,-0.4,51.0,-6.559988608442012
2009-12-31,126.81953915618163,-0.3,50.0,-6.618246303751827
2010-03-31,126.07466074724418,0.2,49.0,-7.918506458335759
2010-06-30,151.24877167717037,0.3,47.0,9.597187578194369
2010-09-30,137.81603134583528,0.1,46.0,-0.8920321183707888
2010-12-31,137.73843910112078,0.0,44.0,-1.6621806772011922
2011-03-31,136.52954855206585,0.1,43.0,-3.189380392030814
2011-06-30,157.96927454429692,-0.2,42.0,11.300563762309771
2011-09-30,146.64916682881935,-0.3,41.0,2.7215318495667895
2011-12-31,144.92443513523605,-0.5,40.0,0.9740807469388167
2012-03-31,138.66520782643724,-0.7,42.0,-3.8509584046447642
2012-06-30,150.65252125980354,-0.8,43.0,4.010477359105933
2012-09-30,145.0091977083871,-1.0,43.0,-0.2677383942931001
2012-12-31,145.72993096652286,-1.2,44.0,-0.10676126264335575
2013-03-31,139.5721131524547,-1.4,44.0,-4.6032239844944725
2013-06-30,160.06231313144914,-1.6,45.0,9.135409954013813
2013-09-30,148.7190983389643,-1.5,45.0,1.2010092792089648
2013-12-31,145.65557871712397,-1.8,46.0,-1.0380378671564703
2014-03-31,138.3312774504257,-2.0,47.0,-6.126086044634133
2014-06-30,156.7827344646443,-2.2,48.0,6.3036679525471495
2014-09-30,142.41561696656734,-2.1,48.0,-3.4896559654043666
2014-12-31,141.55431068833474,-2.4,49.0,-4.097921039294736
2015-03-31,138.67836300315082,-2.6,51.0,-6.0458358014323546
2015-06-30,163.10269671209025,-2.8,52.0,10.53176661963726
2015-09-30,148.06406242217545,-3.0,53.0,0.3990351325174249
2015-12-31,145.05452542456325,-3.2,54.0,-1.555628004564811
2016-03-31,139.68890189627257,-3.1,56.0,-5.08898371273279
2016-06-30,156.808792564844,-2.9,58.0,6.691410393811066
2016-09-30,143.1376470244089,-3.0,60.0,-2.4484437509766357
2016-12-31,142.8884430330436,-3.1,62.0,-2.4324660289823274
2017-03-31,140.4707114606806,-2.8,63.0,-3.877546733280578
2017-06-30,160.4570799144357,-2.6,64.0,10.061325285820413
2017-09-30,148.6493175185049,-2.7,65.0,2.2339630539917548
2017-12-31,149.36512580908854,-2.8,67.0,3.0253263254404255
2018-03-31,145.80542416453298,-2.7,69.0,0.8828518601880065
2018-06-30,154.07233319843832,-2.4,75.0,6.948672966802703
2018-09-30,143.49201806093063,-2.0,82.0,-0.06610426402919835
2018-12-31,139.89576642631974,-2.4,86.0,-2.2535646130641593
2019-03-31,137.25579447506038,-0.8,83.0,-3.802344177948257
2019-06-30,154.97029740685798,-0.6,83.0,8.918246977140086
2019-09-30,140.97701026694892,-0.5,85.0,-0.6736456578382389
2019-12-31,138.3921069379933,-0.9,89.0,-2.3038620148783195
2020-03-31,130.3585951921423,-1.2,88.0,-7.852551075006664
2020-06-30,125.61552296987936,-3.8,96.0,-11.153470144716813
2020-09-30,126.60755310766432,-2.5,97.0,-10.472524121216667
2020-12-31,132.4228409140435,-2.9,97.0,-6.458047663999725
2021-03-31,134.57256815644328,-1.8,85.0,-5.109114240061133
2021-06-30,149.14326115530662,-1.2,83.0,4.9112461359389545
2021-09-30,141.56564762613974,-0.8,81.0,-0.7078142355975403
2021-12-31,143.4988382122337,-1.1,80.0,0.31858885333534764
2022-03-31,143.8061086438699,-0.8,81.0,0.17826234461851817
2022-06-30,161.2686298562478,-0.9,79.0,11.929683009054878
2022-09-30,151.02849201906795,-1.0,78.0,4.432872341373309
2022-12-31,146.9218991430627,-1.7,81.0,1.215352166000053
2023-03-31,145.12203330954205,-1.5,82.0,-0.39619027089357867
2023-06-30,152.15528569731546,-1.8,81.0,4.043017562008706
2023-09-30,150.1792281599422,-2.0,82.0,2.3104623253932326
2023-12-31,144.40759753971057,-2.9,90.0,-1.988957008765794
2024-03-31,137.7445269556697,1.5,84.0,-6.866040141810298
2024-06-30,150.46104016786242,1.8,79.0,1.3373522410968879
2024-09-30,147.24321666576756,1.6,77.0,-1.2212943398225544
2024-12-31,148.32009548265816,1.4,75.0,-0.8973281268376428
2025-03-31,146.17046254240884,1.2,73.0,-2.728778789447345
2025-06-30,160.26761546320884,1.0,72.0,6.218829348833445
2025-09-30,151.95052122912105,0.9,71.0,0.29915660335638045
2025-12-31,151.55206696736855,0.8,70.0,-0.3667248083647144
