Date,EMB_price,EMBI_BRASIL
2004-03-31,,
2004-06-30,,
2004-09-30,,
2004-12-31,,
2005-03-31,,
2005-06-30,,
2005-09-30,,
2005-12-31,,
2006-03-31,,
2006-06-30,,
2006-09-30,,
2006-12-31,,
2007-03-31,,
2007-06-30,,
2007-09-30,,
2007-12-31,40.990206241607666,51.52167570590973
2008-03-31,41.27811900904921,51.23376293846818
2008-06-30,41.72551500797272,50.78636693954468
2008-09-30,40.86474722623825,51.647134721279144
2008-12-31,34.24487203359604,58.267009913921356
2009-03-31,36.344505435130635,56.16737651238676
2009-06-30,40.394077361576144,52.11780458594125
2009-09-30,43.484376192092896,49.0275057554245
2009-12-31,46.30159628391266,46.210285663604736
2010-03-31,46.807641826692176,45.70424012082522
2010-06-30,47.84563760908823,44.666244338429166
2010-09-30,51.04410421848297,41.467777729034424
2010-12-31,52.449396312236786,40.06248563528061
2011-03-31,51.14908384507702,41.36279810244037
2011-06-30,52.71749520680261,39.794386740714785
2011-09-30,54.08341509103775,38.428466856479645
2011-12-31,54.388055044507226,38.12382690301017
2012-03-31,56.419376127181515,36.09250582033588
2012-06-30,57.70538856869652,34.806493378820875
2012-09-30,61.47917308504619,31.032708862471203
2012-12-31,63.74875124039188,28.763130707125512
2013-03-31,63.08286590576172,29.429016041755673
2013-06-30,62.22517001628876,30.286711931228638
2013-09-30,58.45051449537277,34.06136745214462
2013-12-31,59.56296366453171,32.94891828298569
2014-03-31,60.095201148361454,32.41668079915594
2014-06-30,63.344327048649866,29.16755489886753
2014-09-30,64.62226140499115,27.889620542526245
2014-12-31,64.13325798511505,28.378623962402344
2015-03-31,64.01893496904216,28.49294697847523
2015-06-30,65.18549122886053,27.326390718656867
2015-09-30,63.83055114746094,28.681330800056458
2015-12-31,64.29522234201431,28.216659605503082
2016-03-31,64.43034769277104,28.08153425474636
2016-06-30,68.23324966430664,24.278632283210754
2016-09-30,72.21236717700958,20.299514770507812
2016-12-31,70.39778718494233,22.114094762575064
2017-03-31,71.40049054545742,21.11139140205998
2017-06-30,73.66558438255673,18.846297564960665
2017-09-30,74.9670899406312,17.544792006886198
2017-12-31,75.92464241148933,16.587239536028065
2018-03-31,75.28835134037206,17.223530607145335
2018-06-30,73.07399761676788,19.43788433074951
2018-09-30,72.80754113575769,19.704340811759707
2018-12-31,71.89672124953498,20.615160697982418
2019-03-31,75.62050591140498,16.89137603611242
2019-06-30,78.23687223404173,14.275009713475669
2019-09-30,81.68172347545624,10.830158472061157
2019-12-31,82.04301357269287,10.468868374824524
2020-03-31,80.90820035626811,11.603681591249284
2020-06-30,76.8383307078528,15.67355123966459
2020-09-30,84.1537915468216,8.3580904006958
2020-12-31,85.73174607753754,6.780135869979858
2021-03-31,85.46139789018474,7.050484057332653
2021-06-30,85.89028070843409,6.621601239083304
2021-09-30,87.5023934841156,5.009488463401794
2021-12-31,85.86268126964569,6.649200677871704
2022-03-31,80.51974401166362,11.992137935853776
2022-06-30,72.66005054596931,19.851831401548083
2022-09-30,69.52926671504974,22.98261523246765
2022-12-31,68.16745830717541,24.344423640341986
2023-03-31,71.88759231567383,20.624289631843567
2023-06-30,72.08595571210307,20.425926235414323
2023-09-30,72.90397571382069,19.60790623369671
2023-12-31,72.96158393980964,19.550298007707752
2024-03-31,77.19496367407626,15.316918273441132
2024-06-30,78.67720746237134,13.834674485146053
2024-09-30,81.91963374614716,10.59224820137024
2024-12-31,83.14874863624573,9.363133311271667
2025-03-31,83.80463587443033,8.707246073087063
2025-06-30,84.45007533411825,8.061806613399142
2025-09-30,88.97354590892792,3.5383360385894775
2025-12-31,92.5118819475174,0.0
