Date,Year,Quarter,Spread_Empalmado_pb,Spread_Bonex_pb,EMBI_Brady_pb,EMBI_Plus_pb,Instrumento_Fuente,Regimen_Politico,Evento_Hito
1983-12-31,1983,4,409.13,420.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Alfonsín,Vuelta a la Democracia (10 Dic 1983)
1984-03-31,1984,1,467.57,480.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Alfonsín,Renegociación deuda externa bancaria
1984-06-30,1984,2,535.76,550.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Alfonsín,Tensiones con acreedores del Club de París
1984-09-30,1984,3,594.21,610.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Alfonsín,Aceleración inflacionaria
1984-12-31,1984,4,652.65,670.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Alfonsín,Emisión Bonex Serie 1984
1985-03-31,1985,1,759.8,780.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Alfonsín,Picos de inflación previa al Plan Austral
1985-06-30,1985,2,574.72,590.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Alfonsín,Lanzamiento del Plan Austral (Junio 1985)
1985-09-30,1985,3,438.35,450.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Alfonsín,Compresión de spread por éxito inicial del Austral
1985-12-31,1985,4,477.31,490.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Alfonsín,Estabilidad de precios y tasas
1986-03-31,1986,1,516.28,530.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Alfonsín,Reaparición de presiones fiscales
1986-06-30,1986,2,564.98,580.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Alfonsín,Australito / Flexibilización de pautas
1986-09-30,1986,3,623.43,640.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Alfonsín,Déficit cuasifiscal del BCRA en aumento
1986-12-31,1986,4,701.36,720.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Alfonsín,Pérdida de reservas internacionales
1987-03-31,1987,1,789.03,810.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Alfonsín,Levantamiento de Semana Santa
1987-06-30,1987,2,866.96,890.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Alfonsín,Emisión Bonex Serie 1987
1987-09-30,1987,3,1022.81,1050.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Alfonsín,Derrota electoral legislativa oficialista
1987-12-31,1987,4,1149.45,1180.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Alfonsín,Déficit fiscal y cuasifiscal desbordado
1988-03-31,1988,1,1315.05,1350.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Alfonsín,Suspensión de pagos de deuda externa
1988-06-30,1988,2,1480.65,1520.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Alfonsín,Deterioro macroeconómico crítico
1988-09-30,1988,3,1207.89,1240.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Alfonsín,Lanzamiento del Plan Primavera (Ago 1988)
1988-12-31,1988,4,1607.28,1650.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Alfonsín,Agotamiento de reservas del BCRA
1989-03-31,1989,1,2386.57,2450.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Alfonsín,Colapso del Plan Primavera (Feb 1989)
1989-06-30,1989,2,4675.72,4800.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Alfonsín,Primera Hiperinflación (Jun 1989)
1989-09-30,1989,3,3117.15,3200.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Menem I,Asunción anticipada Menem / Plan Bunge & Born
1989-12-31,1989,4,5455.01,5600.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Menem I,Segunda Hiperinflación / Plan Bonex (Decreto 36/90)
1990-03-31,1990,1,4773.13,4900.0,,,Bonex (Series 82/84/87/89) - Spread s/ US 10Y,Menem I,Canje forzoso de plazos fijos por Bonex 89
