Regimen_Presidencial,Inicio,Fin,Trimestres,Media_pb,Mediana_pb,Min_pb,Max_pb,Desvio_pb
Alfonsín,1983-12,1989-06,23,1035.52,701.36,409.13,4675.72,925.56
Menem I,1989-09,1995-03,23,1577.73,837.73,566.13,5455.01,1391.64
Menem II,1995-06,1999-09,18,688.63,663.9,357.1,1350.0,239.92
De la Rúa,1999-12,2001-09,8,811.26,710.21,550.92,1468.94,295.98
Rodríguez Saá / Duhalde,2001-12,2003-03,6,5354.62,5873.34,2947.64,6658.98,1427.81
Kirchner,2003-06,2007-09,18,2775.65,2644.15,210.22,5800.85,2511.01
Fernández de Kirchner,2007-12,2015-09,32,853.48,734.62,387.78,1696.86,321.0
Macri,2015-12,2019-09,16,584.87,477.95,360.23,1493.83,279.3
Fernández,2019-12,2023-09,16,2048.85,2038.76,1391.8,3103.0,466.24
Milei,2023-12,2025-12,9,1195.3,870.36,684.0,2257.75,557.18
