Horizonte_Trimestres,Variable_Explicada,Shock_g_gap,Shock_pb_pib,Shock_EMBI,Shock_TCRM,Shock_deuda_pib
1,g_gap,100.0,0.0,0.0,0.0,0.0
1,pb_pib,45.34,54.66,0.0,0.0,0.0
1,EMBI,7.81,11.3,80.89,0.0,0.0
1,TCRM,2.49,7.26,0.1,90.15,0.0
1,deuda_pib,20.89,23.94,3.23,8.91,43.03
4,g_gap,71.51,14.86,5.68,0.42,7.53
4,pb_pib,42.43,55.97,0.07,0.06,1.48
4,EMBI,7.02,7.34,70.64,0.42,14.58
4,TCRM,2.55,3.66,4.19,77.69,11.91
4,deuda_pib,12.59,18.97,10.13,5.39,52.92
8,g_gap,67.49,15.33,8.03,0.54,8.62
8,pb_pib,40.76,55.14,0.64,0.08,3.38
8,EMBI,8.44,7.81,53.1,0.72,29.93
8,TCRM,3.05,3.26,8.97,64.12,20.61
8,deuda_pib,8.14,14.9,12.59,3.45,60.91
12,g_gap,66.95,15.46,8.03,0.92,8.64
12,pb_pib,40.48,54.93,0.85,0.11,3.63
12,EMBI,13.03,13.03,41.0,3.67,29.27
12,TCRM,9.58,10.57,8.83,51.2,19.81
12,deuda_pib,7.33,13.25,11.93,7.03,60.47
20,g_gap,66.44,15.55,7.98,1.45,8.58
20,pb_pib,40.36,55.28,0.8,0.31,3.25
20,EMBI,14.92,16.16,34.09,9.8,25.04
20,TCRM,17.88,22.84,6.74,37.6,14.94
20,deuda_pib,7.28,12.7,11.36,14.44,54.21
