Año,Optimista,Referencia,Estrés
2026,0.74,0.74,0.74
2027,0.7091396956937799,0.7486335265700483,1.014510812182741
2028,0.6785237843256908,0.7575427837881864,1.3741610830911644
2029,0.6481503304673711,0.7667365777187357,1.8453567942400404
2030,0.618017414017755,0.7762239956670379,2.46269373560892
2031,0.5881231300816911,0.7860144151615055,3.271497572658854
2032,0.5584655888495217,0.7961175132225331,4.331151714489664
2033,0.5290429154776155,0.8065432759274325,5.719457319461548
2034,0.49985324996984704,0.8173020082808443,7.538345555453633
2035,0.47089474706001405,0.8284043444003837,9.921361516191903
