Año,p10,p25,p50,p75,p90
2026,74.0,74.0,74.0,74.0,74.0
2027,63.57706544034768,69.27782124628936,75.22118557615131,80.81147585497105,87.04658398653712
2028,59.22770672737927,67.4230192921775,76.24992935573684,85.02299593867845,94.56664541067524
2029,56.198190913741975,65.72415853430485,76.72011853449644,87.88750721517582,100.47267222285407
2030,52.90979141366824,65.36921940816889,77.25357360625216,92.33097404747465,104.84783761171894
2031,50.89473422883837,63.67634998043377,78.27765402356847,94.03091802519043,111.73184350962362
2032,48.19166311102548,63.09651572731288,78.54745270636646,96.12515003165515,118.67806671460875
2033,46.363392880126675,61.49392839670538,79.3906323379959,100.74250764311773,123.53725868515748
2034,44.859398119223286,60.17623440207706,78.54099246956356,102.62368680085233,130.90136772433934
2035,43.30238708335665,58.04529759325765,80.65126397316355,107.10334043043576,136.33511076641517
