m,ssr,n_parametros,bic,serie
0,90625.57582884602,1,800.0274921421681,deuda_pib
1,65390.58506785511,3,770.4394942395079,deuda_pib
2,37798.2003037619,5,714.2404619155826,deuda_pib
3,19893.916110703125,7,646.7937419723701,deuda_pib
4,19433.716872883146,9,653.5601949085524,deuda_pib
5,19907.08497324155,11,666.023117175414,deuda_pib
0,32909.66434665659,1,525.8056017029355,deuda_consolidada_pib
1,19177.841268655553,3,487.2393203719039,deuda_consolidada_pib
2,11116.448044568227,5,448.20498087504063,deuda_consolidada_pib
3,10352.095955031044,7,450.89081518858256,deuda_consolidada_pib
4,9622.363694619919,9,453.4127709968924,deuda_consolidada_pib
5,9342.479596577869,11,459.76983929824803,deuda_consolidada_pib
